Sensitivity,Specificity,Accuracy,F.Measure,Kappa,type
0.255813953488372,0.755813953488372,0.505813953488372,0.341085271317829,0.0116279069767442,gc_width.1
0.63953488372093,0.395348837209302,0.517441860465116,0.569948186528497,0.0348837209302326,gc_width.3
0.627906976744186,0.465116279069767,0.546511627906977,0.580645161290323,0.0930232558139534,gc_width.5
0.488372093023256,0.616279069767442,0.552325581395349,0.521739130434783,0.104651162790698,gc_width.7
0.558139534883721,0.558139534883721,0.558139534883721,0.558139534883721,0.116279069767442,gc_width.9
