Sensitivity,Specificity,Accuracy,F.Measure,Kappa,type,width,k
0.534883720930233,0.476744186046512,0.505813953488372,0.519774011299435,0.0116279069767442,width.1_k.1,1,1
0.709302325581395,0.546511627906977,0.627906976744186,0.655913978494624,0.255813953488372,width.3_k.1,3,1
0.674418604651163,0.511627906976744,0.593023255813954,0.623655913978495,0.186046511627907,width.3_k.2,3,2
0.674418604651163,0.523255813953488,0.598837209302326,0.627027027027027,0.197674418604651,width.3_k.3,3,3
0.476744186046512,0.697674418604651,0.587209302325581,0.535947712418301,0.174418604651163,width.5_k.1,5,1
0.569767441860465,0.558139534883721,0.563953488372093,0.566473988439306,0.127906976744186,width.5_k.2,5,2
0.593023255813954,0.558139534883721,0.575581395348837,0.582857142857143,0.151162790697674,width.5_k.3,5,3
0.593023255813954,0.558139534883721,0.575581395348837,0.582857142857143,0.151162790697674,width.5_k.4,5,4
0.465116279069767,0.662790697674419,0.563953488372093,0.516129032258065,0.127906976744186,width.7_k.1,7,1
0.534883720930233,0.674418604651163,0.604651162790698,0.575,0.209302325581395,width.7_k.2,7,2
0.534883720930233,0.662790697674419,0.598837209302326,0.571428571428571,0.197674418604651,width.7_k.3,7,3
0.558139534883721,0.662790697674419,0.61046511627907,0.588957055214724,0.220930232558139,width.7_k.4,7,4
0.511627906976744,0.569767441860465,0.540697674418605,0.526946107784431,0.0813953488372092,width.9_k.1,9,1
0.546511627906977,0.63953488372093,0.593023255813954,0.573170731707317,0.186046511627907,width.9_k.2,9,2
0.569767441860465,0.662790697674419,0.616279069767442,0.597560975609756,0.232558139534884,width.9_k.3,9,3
0.593023255813954,0.662790697674419,0.627906976744186,0.614457831325301,0.255813953488372,width.9_k.4,9,4
