"","Sensitivity","Specificity","Accuracy","F.Measure","Kappa","WindowSize","Region"
"1",0.57509505703422,0.443916349809886,0.509505703422053,0.539696699375557,0.0190114068441065,1,"NonCoding"
"2",0.576045627376426,0.445817490494297,0.510931558935361,0.540829986613119,0.0218631178707225,10,"NonCoding"
"3",0.615019011406844,0.416349809885932,0.515684410646388,0.559446606139213,0.0313688212927756,100,"NonCoding"
"4",0.883079847908745,0.326045627376426,0.604562737642586,0.690706319702602,0.209125475285171,1000,"NonCoding"
"5",0.866920152091255,0.513307984790874,0.690114068441065,0.736672051696284,0.380228136882129,10000,"NonCoding"
"6",0.878326996197719,0.503802281368821,0.69106463878327,0.739791833466773,0.38212927756654,11000,"NonCoding"
"7",0.879277566539924,0.508555133079848,0.693916349809886,0.741780272654371,0.387832699619772,12000,"NonCoding"
"8",0.884030418250951,0.517110266159696,0.700570342205323,0.746987951807229,0.401140684410646,13000,"NonCoding"
"9",0.888783269961977,0.534220532319392,0.711501901140684,0.754945498587,0.423003802281369,14000,"NonCoding"
"10",0.875475285171103,0.364068441064639,0.619771863117871,0.697199091597275,0.239543726235741,1500,"NonCoding"
"11",0.885931558935361,0.555133079847909,0.720532319391635,0.760195758564437,0.44106463878327,15000,"NonCoding"
"12",0.892585551330799,0.571292775665399,0.731939163498099,0.769041769041769,0.463878326996198,16000,"NonCoding"
"13",0.894486692015209,0.564638783269962,0.729562737642586,0.767849857201142,0.459125475285171,17000,"NonCoding"
"14",0.889733840304182,0.5893536121673,0.739543726235741,0.773553719008264,0.479087452471483,18000,"NonCoding"
"15",0.891634980988593,0.596958174904943,0.744296577946768,0.777133388566694,0.488593155893536,19000,"NonCoding"
"16",0.916349809885932,0.79467680608365,0.855513307984791,0.863799283154122,0.711026615969582,1e+05,"NonCoding"
"17",0.597908745247148,0.442965779467681,0.520437262357414,0.554918394353772,0.040874524714829,200,"NonCoding"
"18",0.881178707224335,0.393536121673004,0.637357414448669,0.708444784103936,0.274714828897338,2000,"NonCoding"
"19",0.891634980988593,0.604562737642586,0.748098859315589,0.779717373233583,0.496197718631179,20000,"NonCoding"
"20",0.889733840304182,0.618821292775665,0.754277566539924,0.783591460862285,0.508555133079848,21000,"NonCoding"
"21",0.891634980988593,0.627376425855513,0.759505703422053,0.787573467674223,0.519011406844107,22000,"NonCoding"
"22",0.893536121673004,0.631178707224335,0.762357414448669,0.789915966386555,0.524714828897338,23000,"NonCoding"
"23",0.894486692015209,0.641634980988593,0.768060836501901,0.794092827004219,0.536121673003802,24000,"NonCoding"
"24",0.878326996197719,0.409695817490494,0.644011406844107,0.711590296495957,0.288022813688213,2500,"NonCoding"
"25",0.895437262357414,0.644486692015209,0.769961977186312,0.795608108108108,0.539923954372624,25000,"NonCoding"
"26",0.897338403041825,0.651140684410646,0.774239543726236,0.798984341938214,0.548479087452471,26000,"NonCoding"
"27",0.89828897338403,0.650190114068441,0.774239543726236,0.799154334038055,0.548479087452471,27000,"NonCoding"
"28",0.893536121673004,0.656844106463878,0.775190114068441,0.798980025499363,0.550380228136882,28000,"NonCoding"
"29",0.884030418250951,0.679657794676806,0.781844106463878,0.802069857697283,0.563688212927757,29000,"NonCoding"
"30",0.9106463878327,0.14828897338403,0.529467680608365,0.659325533379215,0.05893536121673,300,"NonCoding"
"31",0.883079847908745,0.418250950570342,0.650665399239544,0.716544543000386,0.301330798479087,3000,"NonCoding"
"32",0.892585551330799,0.690114068441065,0.791349809885932,0.810530858869228,0.582699619771863,30000,"NonCoding"
"33",0.894486692015209,0.694866920152091,0.79467680608365,0.813310285220397,0.5893536121673,31000,"NonCoding"
"34",0.890684410646388,0.706273764258555,0.798479087452472,0.815491731940818,0.596958174904943,32000,"NonCoding"
"35",0.889733840304182,0.708174904942966,0.798954372623574,0.815686274509804,0.597908745247148,33000,"NonCoding"
"36",0.890684410646388,0.716730038022814,0.803707224334601,0.819414079580236,0.607414448669201,34000,"NonCoding"
"37",0.879277566539924,0.419201520912548,0.649239543726236,0.71483771251932,0.298479087452471,3500,"NonCoding"
"38",0.894486692015209,0.715779467680608,0.805133079847909,0.821116928446771,0.610266159695817,35000,"NonCoding"
"39",0.884030418250951,0.727186311787072,0.805608365019011,0.819744380784487,0.611216730038023,36000,"NonCoding"
"40",0.884030418250951,0.720532319391635,0.802281368821293,0.817223198594025,0.604562737642586,37000,"NonCoding"
"41",0.894486692015209,0.71958174904943,0.807034220532319,0.822552447552447,0.614068441064639,38000,"NonCoding"
